Date,Product,Region,Units_Sold,Revenue,Salesperson,Channel,Customer_Type
2022-03-09,Almonds,South,25,130.58,Meena,Online,Wholesale
2022-03-09,Raisins,West,43,718.7,Raj,Online,Retail
2022-03-10,Pistachios,East,4,71.13,Meena,Offline,Retail
2022-03-11,Walnuts,East,48,927.76,Ali,Offline,Wholesale
2022-03-12,Pistachios,North,37,630.44,Ali,Online,Retail
2022-03-13,Walnuts,North,14,156.48,Ali,Online,Wholesale
2022-03-13,Walnuts,East,11,125.21,Sunil,Online,Retail
2022-03-13,Pistachios,North,30,337.75,Ali,Online,Retail
2022-03-14,Pistachios,East,25,318.99,Sunil,Offline,Wholesale
2022-03-15,Raisins,West,11,170.7,Sunil,Offline,Wholesale
2022-03-15,Almonds,East,10,56.14,Sunil,Offline,Wholesale
2022-03-15,Walnuts,South,29,288.13,Sunil,Offline,Retail
2022-03-16,Cashews,West,31,435.83,Sunil,Online,Wholesale
2022-03-17,Raisins,East,50,989.7,Sunil,Online,Retail
2022-03-17,Cashews,West,26,243.42,Ali,Online,Retail
2022-03-18,Almonds,West,24,346.04,Anita,Offline,Wholesale
2022-03-19,Almonds,North,49,913.56,Meena,Offline,Wholesale
2022-03-19,Almonds,North,23,396.77,Sunil,Online,Wholesale
2022-03-19,Raisins,East,24,139.52,Ali,Online,Wholesale
2022-03-20,Almonds,West,6,113.63,Raj,Online,Wholesale
2022-03-21,Almonds,North,13,158.29,Anita,Offline,Wholesale
2022-03-22,Cashews,North,50,424.52,Meena,Offline,Retail
2022-03-22,Pistachios,West,50,869.48,Raj,Online,Retail
2022-03-22,Walnuts,East,35,630.69,Raj,Online,Wholesale
2022-03-23,Almonds,West,34,338.92,Ali,Offline,Wholesale
2022-03-23,Cashews,South,32,507.78,Ali,Online,Retail
2022-03-24,Walnuts,South,8,95.01,Sunil,Online,Wholesale
2022-03-25,Cashews,South,38,615.69,Raj,Offline,Retail
2022-03-26,Pistachios,South,45,643.52,Sunil,Online,Wholesale
2022-03-26,Almonds,West,18,322.25,Ali,Online,Retail
2022-03-27,Almonds,South,13,259.31,Raj,Offline,Wholesale
2022-03-28,Pistachios,North,21,313.93,Raj,Online,Wholesale
2022-03-28,Pistachios,North,2,26.36,Anita,Online,Wholesale
2022-03-28,Walnuts,North,37,542.53,Anita,Online,Wholesale
2022-03-28,Raisins,South,39,203.97,Meena,Online,Retail
2022-03-29,Cashews,West,9,76.54,Sunil,Offline,Wholesale
2022-03-29,Cashews,South,35,325.05,Meena,Online,Retail
2022-03-30,Raisins,West,49,588.38,Meena,Online,Retail
2022-03-30,Cashews,West,43,714.36,Anita,Offline,Retail
2022-03-30,Cashews,East,44,469.69,Sunil,Offline,Retail
2022-03-31,Almonds,West,19,378.67,Meena,Offline,Wholesale
2022-03-31,Walnuts,East,45,667.94,Sunil,Online,Wholesale
2022-04-01,Walnuts,North,37,490.99,Meena,Online,Wholesale
2022-04-01,Cashews,East,5,45.08,Meena,Offline,Retail
2022-04-01,Raisins,South,2,27.3,Anita,Offline,Wholesale
2022-04-02,Almonds,South,14,178.6,Sunil,Online,Retail
2022-04-03,Raisins,North,34,415.11,Sunil,Online,Retail
2022-04-03,Pistachios,North,13,256.28,Raj,Online,Retail
2022-04-03,Pistachios,North,22,306.01,Anita,Offline,Retail
2022-04-03,Raisins,East,2,11.99,Anita,Offline,Retail
2022-04-04,Cashews,West,33,199.79,Anita,Online,Retail
2022-04-04,Cashews,North,19,334.16,Raj,Offline,Wholesale
2022-04-04,Raisins,West,22,299.76,Anita,Offline,Retail
2022-04-05,Raisins,South,3,57.21,Anita,Offline,Wholesale
2022-04-05,Raisins,East,32,252,Sunil,Online,Retail
2022-04-05,Almonds,South,33,165.97,Meena,Online,Retail
2022-04-05,Pistachios,East,4,47.6,Meena,Offline,Retail
2022-04-06,Raisins,North,6,52.77,Raj,Offline,Retail
2022-04-07,Raisins,West,48,766.69,Ali,Online,Retail
2022-04-07,Raisins,South,41,618.6,Raj,Online,Retail
2022-04-07,Almonds,East,39,326.66,Meena,Offline,Retail
2022-04-08,Walnuts,West,2,15.3,Anita,Offline,Retail
2022-04-08,Walnuts,North,10,54.85,Ali,Offline,Retail
2022-04-08,Walnuts,North,43,244.76,Ali,Offline,Wholesale
2022-04-08,Pistachios,South,24,207.43,Sunil,Offline,Wholesale
2022-04-09,Raisins,East,18,336.42,Sunil,Online,Wholesale
2022-04-09,Walnuts,North,10,57.65,Ali,Offline,Wholesale
2022-04-09,Cashews,West,4,46.41,Raj,Offline,Wholesale
2022-04-10,Almonds,East,17,312.11,Ali,Offline,Retail
2022-04-10,Cashews,West,1,13.05,Anita,Offline,Retail
2022-04-11,Walnuts,West,10,74.57,Ali,Online,Wholesale
2022-04-12,Almonds,North,43,293.23,Sunil,Online,Wholesale
2022-04-12,Walnuts,East,28,432.81,Meena,Offline,Wholesale
2022-04-12,Raisins,East,49,435.04,Meena,Online,Retail
2022-04-13,Raisins,North,30,159.52,Meena,Online,Wholesale
2022-04-14,Almonds,West,4,61.58,Raj,Online,Wholesale
2022-04-14,Pistachios,North,38,603.54,Ali,Offline,Retail
2022-04-14,Almonds,East,40,525.54,Meena,Online,Retail
2022-04-15,Cashews,East,29,202.39,Raj,Online,Wholesale
2022-04-15,Pistachios,West,34,256.16,Anita,Offline,Wholesale
2022-04-15,Almonds,South,11,186.87,Ali,Online,Retail
2022-04-16,Pistachios,North,11,106.08,Sunil,Online,Retail
2022-04-16,Walnuts,East,4,58.03,Anita,Online,Wholesale
2022-04-16,Raisins,South,22,316.28,Raj,Online,Wholesale
2022-04-16,Cashews,West,30,576.22,Sunil,Offline,Retail
2022-04-17,Walnuts,West,33,211.39,Ali,Offline,Wholesale
2022-04-17,Raisins,North,30,512.54,Anita,Online,Retail
2022-04-17,Almonds,North,18,254.78,Sunil,Online,Retail
2022-04-18,Cashews,East,7,43.02,Sunil,Offline,Retail
2022-04-18,Pistachios,North,5,43.27,Meena,Online,Wholesale
2022-04-18,Pistachios,West,30,494.31,Meena,Offline,Wholesale
2022-04-18,Cashews,South,47,857.29,Raj,Offline,Wholesale
2022-04-19,Cashews,East,10,111.75,Anita,Online,Retail
2022-04-19,Cashews,East,38,291.29,Anita,Offline,Wholesale
2022-04-19,Pistachios,East,35,521.95,Sunil,Offline,Retail
2022-04-19,Cashews,North,27,300.09,Sunil,Offline,Retail
2022-04-20,Pistachios,South,36,205.09,Ali,Offline,Retail
2022-04-21,Pistachios,South,6,63.24,Sunil,Offline,Wholesale
2022-04-21,Pistachios,South,48,683.29,Meena,Offline,Retail
2022-04-21,Almonds,West,26,440.64,Anita,Offline,Retail
2022-04-22,Walnuts,South,45,838.3,Sunil,Online,Wholesale
2022-04-22,Raisins,North,22,322.44,Meena,Offline,Wholesale
2022-04-23,Pistachios,West,30,318.82,Meena,Offline,Wholesale
2022-04-23,Cashews,East,37,655.65,Anita,Online,Retail
2022-04-24,Cashews,South,21,209.49,Raj,Offline,Wholesale
2022-04-25,Raisins,South,12,114.16,Sunil,Offline,Retail
2022-04-25,Walnuts,West,43,843.23,Sunil,Offline,Wholesale
2022-04-25,Pistachios,North,36,441.47,Anita,Offline,Wholesale
2022-04-25,Pistachios,East,37,439.36,Raj,Offline,Wholesale
2022-04-26,Almonds,West,15,159.59,Raj,Online,Wholesale
2022-04-27,Raisins,East,12,210.12,Ali,Offline,Wholesale
2022-04-27,Raisins,South,33,409.57,Raj,Online,Retail
2022-04-28,Walnuts,East,29,306,Meena,Offline,Wholesale
2022-04-28,Raisins,North,9,68.97,Ali,Online,Wholesale
2022-04-28,Pistachios,North,33,377.99,Ali,Online,Wholesale
2022-04-29,Walnuts,West,44,338.52,Raj,Online,Retail
2022-04-29,Walnuts,West,20,266.48,Sunil,Online,Retail
2022-04-29,Raisins,West,32,620.07,Raj,Offline,Wholesale
2022-04-29,Walnuts,West,47,704.2,Ali,Offline,Wholesale
2022-04-30,Pistachios,West,21,393.81,Ali,Online,Retail
2022-04-30,Almonds,North,30,313.52,Meena,Offline,Wholesale
2022-04-30,Raisins,North,29,395.34,Raj,Online,Wholesale
2022-05-01,Raisins,North,35,348.02,Anita,Offline,Wholesale
2022-05-01,Pistachios,East,33,653.3,Ali,Offline,Wholesale
2022-05-01,Pistachios,North,38,295.53,Meena,Online,Retail
2022-05-02,Almonds,North,17,287.43,Raj,Online,Retail
2022-05-02,Cashews,West,37,426.7,Sunil,Online,Wholesale
2022-05-02,Almonds,East,50,834.5,Raj,Offline,Wholesale
2022-05-02,Walnuts,West,9,74.65,Sunil,Online,Wholesale
2022-05-03,Almonds,East,26,146.22,Ali,Online,Wholesale
2022-05-03,Pistachios,West,49,754.43,Meena,Offline,Wholesale
2022-05-04,Walnuts,East,3,30.56,Sunil,Offline,Wholesale
2022-05-04,Pistachios,West,39,327.68,Anita,Online,Retail
2022-05-04,Cashews,South,43,700.39,Raj,Offline,Wholesale
2022-05-04,Walnuts,South,13,224.18,Raj,Offline,Wholesale
2022-05-05,Almonds,East,12,92.23,Sunil,Online,Retail
2022-05-05,Raisins,West,32,260.55,Ali,Offline,Wholesale
2022-05-06,Pistachios,North,35,371.13,Meena,Offline,Wholesale
2022-05-06,Cashews,South,28,385.69,Raj,Offline,Retail
2022-05-06,Pistachios,East,46,523.87,Ali,Online,Retail
2022-05-06,Cashews,South,28,243.57,Ali,Online,Retail
2022-05-07,Cashews,North,41,719.46,Ali,Online,Wholesale
2022-05-07,Walnuts,South,11,114.81,Raj,Online,Retail
2022-05-07,Almonds,East,50,805.78,Ali,Offline,Wholesale
2022-05-07,Almonds,East,45,631.49,Meena,Online,Retail
2022-05-08,Cashews,North,35,444.78,Anita,Offline,Wholesale
2022-05-08,Walnuts,South,3,55.73,Anita,Offline,Retail
2022-05-09,Cashews,West,12,218.47,Raj,Online,Wholesale
2022-05-09,Walnuts,North,40,687.45,Raj,Online,Wholesale
2022-05-10,Walnuts,East,32,279.19,Raj,Online,Retail
2022-05-10,Walnuts,West,28,493.45,Raj,Offline,Retail
2022-05-10,Walnuts,East,45,544.08,Meena,Offline,Wholesale
2022-05-10,Cashews,South,29,450.13,Ali,Online,Wholesale
2022-05-11,Cashews,North,50,892.49,Sunil,Offline,Retail
2022-05-12,Pistachios,North,21,335.19,Raj,Offline,Retail
2022-05-12,Pistachios,East,13,134.38,Meena,Online,Retail
2022-05-12,Raisins,West,33,251.03,Sunil,Online,Wholesale
2022-05-13,Pistachios,South,17,208.72,Ali,Offline,Retail
2022-05-13,Raisins,South,48,599.46,Anita,Offline,Wholesale
2022-05-14,Pistachios,East,34,360.59,Ali,Offline,Wholesale
2022-05-14,Pistachios,East,14,123.4,Raj,Online,Wholesale
2022-05-15,Walnuts,South,39,665.72,Meena,Online,Wholesale
2022-05-15,Pistachios,North,37,370.14,Ali,Offline,Wholesale
2022-05-15,Pistachios,South,18,164.42,Sunil,Online,Wholesale
2022-05-16,Pistachios,North,22,427.2,Ali,Online,Retail
2022-05-16,Almonds,East,7,89.12,Sunil,Offline,Retail
2022-05-16,Almonds,East,24,365.43,Raj,Online,Wholesale
2022-05-16,Raisins,West,38,580.13,Meena,Online,Wholesale
2022-05-17,Raisins,North,13,90.21,Ali,Offline,Retail
2022-05-18,Raisins,West,12,68.47,Meena,Online,Retail
2022-05-18,Pistachios,East,35,659.76,Raj,Online,Retail
2022-05-18,Walnuts,North,18,95.34,Meena,Offline,Retail
2022-05-19,Pistachios,West,20,300.2,Meena,Online,Wholesale
2022-05-19,Walnuts,South,1,18.58,Ali,Online,Retail
2022-05-20,Raisins,West,29,319.35,Raj,Offline,Wholesale
2022-05-21,Walnuts,North,50,368.73,Raj,Offline,Wholesale
2022-05-22,Raisins,East,47,249.34,Meena,Offline,Retail
2022-05-22,Almonds,South,37,437.54,Anita,Online,Wholesale
2022-05-22,Cashews,East,35,250.67,Meena,Online,Retail
2022-05-22,Walnuts,East,11,218.94,Meena,Online,Wholesale
2022-05-23,Pistachios,East,17,178.85,Raj,Online,Retail
2022-05-23,Cashews,North,18,225.12,Anita,Offline,Retail
2022-05-24,Almonds,West,7,126.21,Meena,Offline,Retail
2022-05-25,Walnuts,East,37,710.84,Raj,Online,Wholesale
2022-05-25,Almonds,East,3,58.52,Sunil,Offline,Retail
2022-05-26,Almonds,East,27,389.43,Ali,Offline,Wholesale
2022-05-26,Raisins,North,21,251.01,Raj,Online,Wholesale
2022-05-26,Walnuts,West,10,191.89,Sunil,Offline,Retail
2022-05-26,Raisins,East,24,276.67,Sunil,Online,Wholesale
2022-05-27,Raisins,South,32,605.27,Sunil,Offline,Retail
2022-05-27,Walnuts,South,11,95.76,Raj,Offline,Wholesale
2022-05-28,Walnuts,North,39,415.78,Meena,Online,Wholesale
2022-05-28,Raisins,West,4,27.89,Meena,Online,Retail
2022-05-29,Raisins,East,37,680.56,Sunil,Offline,Retail
2022-05-29,Almonds,East,14,163.61,Raj,Online,Retail
2022-05-29,Cashews,North,10,55.01,Raj,Online,Wholesale
2022-05-29,Cashews,East,38,226.59,Meena,Offline,Wholesale
2022-05-30,Pistachios,West,46,697.72,Raj,Online,Wholesale
2022-05-30,Almonds,South,21,173.71,Sunil,Offline,Retail
2022-05-30,Walnuts,North,44,788.3,Ali,Offline,Retail
2022-05-30,Pistachios,East,33,265,Anita,Offline,Wholesale
2022-05-31,Walnuts,East,8,53.66,Ali,Online,Wholesale
2022-05-31,Walnuts,South,40,655.3,Ali,Offline,Retail
2022-05-31,Raisins,North,15,75.24,Raj,Offline,Retail
2022-05-31,Almonds,East,24,207.43,Sunil,Offline,Wholesale
2022-06-01,Cashews,West,16,190.32,Ali,Offline,Retail
2022-06-02,Raisins,South,19,103.95,Meena,Online,Wholesale
2022-06-03,Walnuts,South,46,859.28,Anita,Online,Wholesale
2022-06-03,Raisins,South,9,100.08,Raj,Offline,Wholesale
2022-06-03,Raisins,South,17,205.43,Ali,Online,Wholesale
2022-06-04,Raisins,South,34,428.41,Ali,Online,Retail
2022-06-04,Pistachios,East,46,827.3,Anita,Online,Retail
2022-06-04,Raisins,North,7,84.66,Meena,Online,Retail
2022-06-04,Walnuts,West,20,221.03,Meena,Online,Retail
2022-06-05,Almonds,South,41,334.8,Meena,Online,Wholesale
2022-06-05,Pistachios,East,43,281.61,Ali,Online,Wholesale
2022-06-05,Pistachios,North,7,54.15,Sunil,Online,Wholesale
2022-06-05,Pistachios,North,44,389.23,Raj,Online,Wholesale
2022-06-06,Almonds,East,40,495.4,Sunil,Offline,Wholesale
2022-06-06,Pistachios,South,21,168.44,Sunil,Offline,Wholesale
2022-06-06,Pistachios,North,48,819.29,Meena,Online,Retail
2022-06-07,Pistachios,East,17,126.78,Anita,Online,Retail
2022-06-08,Walnuts,East,5,31.31,Meena,Offline,Retail
2022-06-08,Cashews,West,30,476.42,Ali,Online,Retail
2022-06-08,Walnuts,West,40,294.66,Ali,Online,Retail
2022-06-08,Raisins,South,37,452.39,Anita,Offline,Retail
2022-06-09,Walnuts,North,34,264.78,Sunil,Offline,Wholesale
2022-06-10,Cashews,East,33,275.84,Meena,Online,Retail
2022-06-11,Cashews,West,31,381.03,Ali,Offline,Retail
2022-06-11,Almonds,South,2,14.63,Sunil,Online,Wholesale
2022-06-11,Walnuts,West,23,257.34,Sunil,Offline,Retail
2022-06-11,Walnuts,East,28,557.8,Meena,Online,Retail
2022-06-12,Cashews,West,45,672.01,Meena,Offline,Wholesale
2022-06-13,Walnuts,South,37,259.4,Ali,Online,Wholesale
2022-06-13,Pistachios,South,38,571.3,Meena,Online,Retail
2022-06-13,Pistachios,East,21,342.09,Anita,Online,Wholesale
2022-06-13,Pistachios,South,39,660.11,Ali,Online,Wholesale
2022-06-14,Pistachios,East,29,158.94,Anita,Online,Retail
2022-06-15,Pistachios,East,47,622.09,Ali,Offline,Wholesale
2022-06-15,Almonds,North,9,51.67,Sunil,Offline,Retail
2022-06-15,Walnuts,North,18,119.61,Anita,Online,Retail
2022-06-15,Pistachios,West,40,230.25,Anita,Online,Retail
2022-06-16,Cashews,West,48,836.39,Ali,Offline,Retail
2022-06-17,Almonds,West,27,483.98,Meena,Online,Retail
2022-06-18,Almonds,West,23,305.74,Raj,Online,Retail
2022-06-18,Walnuts,West,39,575.83,Anita,Online,Wholesale
2022-06-18,Pistachios,North,26,377.73,Ali,Offline,Wholesale
2022-06-18,Raisins,North,34,519.91,Sunil,Online,Retail
2022-06-19,Almonds,North,16,280.42,Meena,Online,Retail
2022-06-19,Pistachios,East,20,227.11,Raj,Offline,Retail
2022-06-19,Cashews,South,49,657.64,Sunil,Offline,Retail
